iter	Passed	Remaining
921	36504	3088
922	36542	3048
923	36582	3008
924	36621	2969
925	36662	2929
926	36704	2890
927	36745	2850
928	36782	2811
929	36820	2771
930	36856	2731
931	36892	2691
932	36929	2651
933	36965	2612
934	37002	2572
935	37039	2532
936	37075	2492
937	37112	2453
938	37149	2413
939	37185	2373
940	37221	2333
941	37258	2294
942	37294	2254
943	37331	2214
944	37369	2174
945	37407	2135
946	37446	2095
947	37485	2056
948	37523	2016
949	37561	1976
950	37599	1937
951	37640	1897
952	37678	1858
953	37716	1818
954	37754	1779
955	37793	1739
956	37830	1699
957	37870	1660
958	37909	1620
959	37948	1581
960	37987	1541
961	38028	1502
962	38069	1462
963	38108	1423
964	38147	1383
965	38184	1343
966	38221	1304
967	38260	1264
968	38298	1225
969	38335	1185
970	38371	1145
971	38408	1106
972	38446	1066
973	38485	1027
974	38522	987
975	38558	948
976	38595	908
977	38631	869
978	38669	829
979	38706	789
980	38743	750
981	38780	710
982	38817	671
983	38855	631
984	38892	592
985	38933	552
986	38975	513
987	39017	473
988	39061	434
989	39105	395
990	39159	355
991	39206	316
992	39249	276
993	39288	237
994	39326	197
995	39362	158
996	39399	118
997	39436	79
998	39473	39
999	39510	0
