iter	RMSE
0	22.0291475
1	21.80551076
2	21.57766618
3	21.39318889
4	21.1902224
5	21.0001573
6	20.81718904
7	20.65238165
8	20.4922681
9	20.32761719
10	20.17193216
11	20.0502248
12	19.89791728
13	19.75652525
14	19.62780814
15	19.5352523
16	19.42389243
17	19.31218825
18	19.21074084
19	19.11904284
20	19.02078539
21	18.9444194
22	18.86163071
23	18.79593193
24	18.70425231
25	18.64807705
26	18.57735259
27	18.5025789
28	18.43274812
29	18.36462301
30	18.30046551
31	18.23356959
32	18.16471133
33	18.10647613
34	18.05055466
35	17.99279911
36	17.94067732
37	17.88505208
38	17.83192092
39	17.77656947
40	17.7202111
41	17.66411803
42	17.61555223
43	17.57150106
44	17.52839246
45	17.48889336
46	17.43910782
47	17.39266469
48	17.35710605
49	17.31154434
50	17.27683931
51	17.23926725
52	17.20291636
53	17.17562896
54	17.14791793
55	17.10674677
56	17.07769716
57	17.04702653
58	17.01583505
59	16.98364499
60	16.94753803
61	16.91173554
62	16.884226
63	16.85679363
64	16.83112035
65	16.80159561
66	16.76573179
67	16.73974481
68	16.70750002
69	16.67870691
70	16.65077834
71	16.62790881
72	16.60558828
73	16.58113039
74	16.5581817
75	16.53154286
76	16.5051051
77	16.48092494
78	16.45678807
79	16.43193063
80	16.4069542
81	16.38573843
82	16.36212439
83	16.33431829
84	16.30972318
85	16.27953448
86	16.25312086
87	16.23166646
88	16.20725364
89	16.18031042
90	16.15835849
91	16.13308868
92	16.11011218
93	16.08332226
94	16.06163733
95	16.03291699
96	16.00780363
97	15.98275253
98	15.95716426
99	15.92647318
100	15.90592734
101	15.88590091
102	15.86765204
103	15.84408885
104	15.82113863
105	15.80338329
106	15.78182751
107	15.76249867
108	15.74274328
109	15.72742526
110	15.70769442
111	15.69048572
112	15.66593861
113	15.6444937
114	15.62215253
115	15.6026583
116	15.58002134
117	15.56263217
118	15.54269487
119	15.52505863
120	15.50390521
121	15.48452218
122	15.45556695
123	15.43744302
124	15.41981204
125	15.40136855
126	15.38128193
127	15.36385766
128	15.34255359
129	15.32404112
130	15.30662652
131	15.28860581
132	15.26714921
133	15.24771945
134	15.22361222
135	15.21047056
136	15.19798416
137	15.17765847
138	15.15530277
139	15.13451581
140	15.11472191
141	15.09572918
142	15.08303125
143	15.05726749
144	15.0386909
145	15.02393887
146	15.005549
147	14.98500916
148	14.96362376
149	14.9491985
150	14.9293759
151	14.90947646
152	14.89332969
153	14.87175418
154	14.84902013
155	14.83147893
156	14.81637127
157	14.79995763
158	14.78074334
159	14.76242478
160	14.74779033
161	14.73040701
162	14.7120787
163	14.69434935
164	14.67554813
165	14.65913869
166	14.64452112
167	14.62254021
168	14.59951628
169	14.58011319
170	14.56587485
171	14.54572616
172	14.52245342
173	14.50342972
174	14.48724018
175	14.47319217
176	14.45636282
177	14.4336245
178	14.41225259
179	14.39759787
180	14.3758323
181	14.35957378
182	14.34085252
183	14.31922539
184	14.29830421
185	14.27739739
186	14.2583254
187	14.23976498
188	14.22708501
189	14.20872145
190	14.18689528
191	14.17171136
192	14.15317446
193	14.1319363
194	14.11213092
195	14.09415363
196	14.07487275
197	14.05238232
198	14.03294314
199	14.01493693
200	13.98979331
201	13.97432964
202	13.95641241
203	13.93510075
204	13.91550197
205	13.89609366
206	13.87296471
207	13.85388134
208	13.8262655
209	13.80905647
210	13.79085894
211	13.7681199
212	13.75016112
213	13.72980419
214	13.71109571
215	13.6935844
216	13.67597764
217	13.6625748
218	13.64530929
219	13.62117612
220	13.60492526
221	13.58474515
222	13.56276746
223	13.54523149
224	13.52446784
225	13.50205046
226	13.48580922
227	13.46969303
228	13.45602728
229	13.43140909
230	13.41425319
231	13.39302031
232	13.38144014
233	13.36822901
234	13.3551883
235	13.33654341
236	13.31917644
237	13.29679967
238	13.27990306
239	13.26478042
240	13.25115274
241	13.23295336
242	13.21574512
243	13.19995754
244	13.18350662
245	13.16711555
246	13.15114527
247	13.13273789
248	13.11402223
249	13.09672882
250	13.07679222
251	13.06231074
252	13.04615027
253	13.03027165
254	13.01392236
255	12.99392307
256	12.98005541
257	12.95915978
258	12.941544
259	12.92109835
260	12.90140699
261	12.88118393
262	12.86687187
263	12.85194803
264	12.8348837
265	12.81883868
266	12.80598327
267	12.78584606
268	12.77303516
269	12.75550544
270	12.73682896
271	12.72163538
272	12.70390994
273	12.68923964
274	12.67305046
275	12.65515562
276	12.64093598
277	12.62108475
278	12.6078143
279	12.59018993
280	12.57638107
281	12.55820256
282	12.54400253
283	12.52647156
284	12.50847833
285	12.49046186
286	12.47145327
287	12.453779
288	12.43801366
289	12.41803061
290	12.40313521
291	12.39248437
292	12.37649929
293	12.36447196
294	12.34655444
295	12.32960445
296	12.31027978
297	12.29685746
298	12.28152468
299	12.2688064
300	12.25472775
301	12.24367878
302	12.22843019
303	12.21054646
304	12.19526871
305	12.17542384
306	12.15670395
307	12.14063683
308	12.12969194
309	12.11814556
310	12.10125239
311	12.08509336
312	12.07021545
313	12.0557954
314	12.03699732
315	12.02490154
316	12.01149703
317	11.99804135
318	11.98455264
319	11.97185529
320	11.95116767
321	11.94000101
322	11.9242771
323	11.90816669
324	11.89528605
325	11.88035269
326	11.86539375
327	11.85245535
328	11.83976426
329	11.82489677
330	11.81505436
331	11.80204794
332	11.78082822
333	11.76974295
334	11.75570341
335	11.7432058
336	11.72983329
337	11.71215008
338	11.69858612
339	11.68037822
340	11.66104448
341	11.64193278
342	11.62755776
343	11.61651984
344	11.60178386
345	11.58526135
346	11.57128466
347	11.5590085
348	11.53994581
349	11.52291985
350	11.50904576
351	11.492544
352	11.47991105
353	11.46642563
354	11.45591182
355	11.4388611
356	11.42421482
357	11.40976889
358	11.3940401
359	11.38004099
360	11.36546937
361	11.35448199
362	11.34210058
363	11.33022351
364	11.31911736
365	11.30772717
366	11.29178334
367	11.27787216
368	11.26647341
369	11.25153682
370	11.24167239
371	11.22774718
372	11.21529583
373	11.19632842
374	11.17717689
375	11.15889548
376	11.14075248
377	11.12850323
378	11.1151473
379	11.1031131
380	11.08892168
381	11.07602378
382	11.06427909
383	11.05224988
384	11.03783736
385	11.02493493
386	11.0090265
387	10.99281678
388	10.9794223
389	10.96425386
390	10.95303722
391	10.94066146
392	10.92756493
393	10.91576207
394	10.9028537
395	10.88590763
396	10.8745271
397	10.86464201
398	10.8478944
399	10.83827761
400	10.82823432
401	10.81416153
402	10.79908922
403	10.78800779
404	10.77544251
405	10.76025915
406	10.75018732
407	10.7407836
408	10.73256003
409	10.71676116
410	10.70548053
411	10.69217426
412	10.68149641
413	10.669676
414	10.6600532
415	10.6456116
416	10.62785083
417	10.61499796
418	10.60187373
419	10.59040633
420	10.57595554
421	10.5651504
422	10.55306043
423	10.54047152
424	10.52671698
425	10.51663785
426	10.50594954
427	10.49498345
428	10.4785671
429	10.47001489
430	10.45556109
431	10.4469941
432	10.43429721
433	10.4209422
434	10.41162426
435	10.39979917
436	10.38846336
437	10.3773728
438	10.36767398
439	10.35377514
440	10.34464693
441	10.33556126
442	10.3207946
443	10.30818636
444	10.29447724
445	10.2876987
446	10.27473964
447	10.2621734
448	10.2506643
449	10.23996493
450	10.2329947
451	10.21879777
452	10.20700397
453	10.19777715
454	10.18688279
455	10.17393049
456	10.16081651
457	10.14751459
458	10.13667748
459	10.1212904
460	10.10483658
461	10.0951339
462	10.08320652
463	10.07114001
464	10.05999173
465	10.04878247
466	10.03775005
467	10.0251265
468	10.01310658
469	10.00287508
470	9.990972696
471	9.981455432
472	9.971569348
473	9.960211507
474	9.948560772
475	9.932378036
476	9.918346331
477	9.904325124
478	9.89001528
479	9.878369552
480	9.868306642
481	9.857587435
482	9.847113605
483	9.835363118
484	9.824865507
485	9.815800015
486	9.807923376
487	9.798716947
488	9.788756655
489	9.775222481
490	9.761190415
491	9.753181361
492	9.739835287
493	9.728360216
494	9.718027673
495	9.704666284
496	9.694262217
497	9.679510917
498	9.667046113
499	9.655578017
500	9.645214365
501	9.637309894
